 X,Z, RADIATION LOSS, INTEGRATED INTENSITY, TEMPERATURE, TEMPERATURE, U-VELOCITY, V-VELOCITY, W-VELOCITY
 m,m, kW/m3, kW/m2, C, C, m/s, m/s, m/s
-0.25000E+00, 0.10000E+00, 0.28820E+01, 0.28277E+02, 0.23642E+02, 0.24282E+02, 0.16654E+00, 0.29114E-01, 0.79056E-01
-0.20000E+00, 0.10000E+00, 0.27800E+01, 0.27356E+02, 0.24487E+02, 0.25045E+02, 0.68595E-01, 0.41800E-01, 0.72105E-01
-0.15000E+00, 0.10000E+00, 0.26811E+01, 0.26462E+02, 0.24914E+02, 0.25314E+02, 0.16698E-01,-0.19299E-01, 0.82953E-01
-0.10000E+00, 0.10000E+00, 0.25739E+01, 0.25475E+02, 0.24799E+02, 0.25099E+02, 0.41817E-01,-0.28807E-01, 0.18062E+00
-0.50000E-01, 0.10000E+00, 0.24965E+01, 0.24758E+02, 0.24632E+02, 0.24740E+02, 0.46812E-01,-0.46824E-01, 0.30137E+00
 0.00000E+00, 0.10000E+00, 0.24413E+01, 0.24243E+02, 0.24317E+02, 0.24527E+02,-0.33922E-01,-0.24949E-01, 0.31714E+00
 0.50000E-01, 0.10000E+00, 0.24121E+01, 0.23969E+02, 0.24142E+02, 0.24540E+02,-0.29151E-01, 0.40366E-01, 0.27108E+00
 0.10000E+00, 0.10000E+00, 0.23988E+01, 0.23850E+02, 0.24275E+02, 0.24685E+02,-0.31408E-01, 0.16364E-01, 0.15578E+00
 0.15000E+00, 0.10000E+00, 0.24127E+01, 0.23982E+02, 0.24483E+02, 0.24726E+02,-0.54814E-01, 0.48086E-02, 0.53016E-01
 0.20000E+00, 0.10000E+00, 0.24387E+01, 0.24218E+02, 0.24402E+02, 0.24437E+02,-0.10414E+00, 0.97407E-02, 0.18547E-02
 0.25000E+00, 0.10000E+00, 0.24818E+01, 0.24605E+02, 0.24195E+02, 0.23907E+02,-0.16874E+00, 0.15597E-01, 0.61639E-01
 0.30000E+00, 0.10000E+00, 0.25249E+01, 0.24981E+02, 0.23196E+02, 0.23279E+02,-0.21249E+00, 0.19145E-01, 0.12571E+00
 0.35000E+00, 0.10000E+00, 0.25494E+01, 0.25192E+02, 0.22562E+02, 0.22829E+02,-0.30102E+00,-0.25886E-01, 0.12121E+00
 0.40000E+00, 0.10000E+00, 0.21133E+01, 0.21169E+02, 0.22096E+02, 0.22742E+02,-0.29194E+00,-0.36916E-01, 0.90271E-01
 0.45000E+00, 0.10000E+00, 0.19028E+01, 0.19226E+02, 0.21877E+02, 0.22939E+02,-0.38957E+00,-0.16772E-01, 0.11263E+00
 0.50000E+00, 0.10000E+00, 0.16679E+01, 0.17060E+02, 0.21694E+02, 0.23184E+02,-0.32225E+00,-0.35868E-02, 0.71688E-01
 0.55000E+00, 0.10000E+00, 0.14234E+01, 0.14808E+02, 0.21637E+02, 0.23450E+02,-0.37187E+00,-0.40695E-03, 0.40315E-01
 0.60000E+00, 0.10000E+00, 0.12149E+01, 0.12887E+02, 0.21477E+02, 0.23437E+02,-0.29826E+00, 0.16245E-01,-0.23059E-02
 0.65000E+00, 0.10000E+00, 0.10431E+01, 0.11305E+02, 0.21498E+02, 0.23126E+02,-0.30489E+00, 0.12638E-01,-0.16616E-01
 0.70000E+00, 0.10000E+00, 0.89979E+00, 0.99827E+01, 0.21274E+02, 0.22660E+02,-0.25561E+00, 0.30884E-01,-0.62185E-01
 0.75000E+00, 0.10000E+00, 0.77888E+00, 0.88716E+01, 0.21370E+02, 0.21825E+02,-0.24529E+00, 0.24151E-01,-0.10359E+00
 0.80000E+00, 0.10000E+00, 0.68438E+00, 0.79887E+01, 0.20653E+02, 0.20992E+02,-0.19813E+00, 0.33829E-01,-0.88772E-01
 0.85000E+00, 0.10000E+00, 0.62194E+00, 0.74117E+01, 0.20542E+02, 0.20548E+02,-0.20799E+00, 0.17874E-01,-0.10686E+00
 0.90000E+00, 0.10000E+00, 0.59704E+00, 0.71794E+01, 0.20403E+02, 0.20349E+02,-0.13330E+00,-0.15461E-01,-0.63739E-01
 0.95000E+00, 0.10000E+00, 0.59034E+00, 0.71144E+01, 0.20258E+02, 0.20194E+02,-0.16489E+00, 0.11125E-01,-0.51007E-01
 0.10000E+01, 0.10000E+00, 0.58270E+00, 0.70402E+01, 0.20086E+02, 0.20107E+02,-0.11176E+00,-0.53505E-02,-0.33425E-01
-0.10000E+01, 0.15000E+00, 0.00000E+00, 0.16751E+01, 0.20000E+02, 0.20131E+02, 0.14005E+00,-0.45307E-02,-0.57727E-01
-0.95000E+00, 0.15000E+00, 0.78737E+00, 0.89243E+01, 0.20099E+02, 0.20229E+02, 0.16976E+00, 0.32182E-01,-0.51537E-01
-0.90000E+00, 0.15000E+00, 0.77834E+00, 0.88455E+01, 0.20290E+02, 0.20417E+02, 0.14757E+00, 0.31993E-01,-0.29793E-01
-0.85000E+00, 0.15000E+00, 0.75736E+00, 0.86562E+01, 0.20465E+02, 0.21104E+02, 0.17297E+00, 0.42808E-01,-0.55642E-01
-0.80000E+00, 0.15000E+00, 0.74420E+00, 0.85489E+01, 0.21181E+02, 0.22324E+02, 0.18376E+00, 0.59398E-01,-0.64741E-01
-0.75000E+00, 0.15000E+00, 0.78857E+00, 0.89700E+01, 0.21878E+02, 0.24106E+02, 0.18611E+00, 0.42908E-01,-0.73333E-01
-0.70000E+00, 0.15000E+00, 0.88452E+00, 0.98802E+01, 0.23508E+02, 0.26022E+02, 0.22577E+00, 0.69714E-01,-0.37577E-01
-0.65000E+00, 0.15000E+00, 0.10177E+01, 0.11126E+02, 0.24925E+02, 0.28394E+02, 0.23246E+00, 0.53105E-01,-0.24090E-01
-0.60000E+00, 0.15000E+00, 0.11824E+01, 0.12656E+02, 0.26444E+02, 0.29788E+02, 0.24402E+00, 0.40502E-01, 0.39030E-01
-0.55000E+00, 0.15000E+00, 0.13835E+01, 0.14490E+02, 0.25730E+02, 0.29776E+02, 0.26623E+00, 0.20830E-01, 0.75500E-01
-0.50000E+00, 0.15000E+00, 0.16198E+01, 0.16651E+02, 0.25249E+02, 0.28969E+02, 0.27309E+00, 0.19521E-01, 0.14395E+00
-0.45000E+00, 0.15000E+00, 0.18815E+01, 0.19043E+02, 0.23982E+02, 0.28248E+02, 0.29792E+00, 0.63981E-02, 0.17259E+00
-0.40000E+00, 0.15000E+00, 0.21261E+01, 0.21291E+02, 0.23162E+02, 0.28483E+02, 0.27791E+00,-0.51372E-01, 0.24009E+00
-0.35000E+00, 0.15000E+00, 0.21893E+01, 0.21863E+02, 0.22735E+02, 0.28276E+02, 0.38870E+00,-0.63272E-01, 0.28888E+00
-0.30000E+00, 0.15000E+00, 0.29758E+01, 0.29084E+02, 0.23054E+02, 0.28788E+02, 0.21032E+00,-0.93645E-01, 0.19639E+00
-0.25000E+00, 0.15000E+00, 0.28933E+01, 0.28306E+02, 0.23970E+02, 0.28867E+02, 0.24695E+00,-0.61960E-01, 0.27935E+00
-0.20000E+00, 0.15000E+00, 0.27366E+01, 0.26907E+02, 0.24783E+02, 0.28682E+02, 0.14588E+00, 0.78202E-02, 0.23062E+00
-0.15000E+00, 0.15000E+00, 0.26137E+01, 0.25834E+02, 0.25613E+02, 0.28641E+02, 0.12575E-01, 0.20554E-01, 0.23467E+00
-0.10000E+00, 0.15000E+00, 0.24997E+01, 0.24799E+02, 0.25302E+02, 0.27559E+02, 0.10473E-01, 0.20306E-01, 0.30218E+00
-0.50000E-01, 0.15000E+00, 0.24237E+01, 0.24097E+02, 0.25058E+02, 0.26611E+02, 0.93794E-03,-0.20668E-01, 0.36008E+00
 0.00000E+00, 0.15000E+00, 0.23716E+01, 0.23607E+02, 0.24600E+02, 0.26339E+02,-0.19208E-01,-0.26143E-01, 0.38752E+00
 0.50000E-01, 0.15000E+00, 0.23442E+01, 0.23352E+02, 0.24481E+02, 0.26608E+02,-0.17245E-01, 0.19120E-01, 0.34399E+00
 0.10000E+00, 0.15000E+00, 0.23312E+01, 0.23236E+02, 0.24697E+02, 0.27273E+02,-0.24547E-01, 0.42676E-01, 0.26410E+00
 0.15000E+00, 0.15000E+00, 0.23467E+01, 0.23381E+02, 0.25041E+02, 0.27501E+02,-0.60632E-01, 0.34019E-01, 0.17591E+00
 0.20000E+00, 0.15000E+00, 0.23784E+01, 0.23656E+02, 0.24693E+02, 0.27218E+02,-0.18873E+00,-0.13636E-01, 0.20872E+00
 0.25000E+00, 0.15000E+00, 0.24392E+01, 0.24192E+02, 0.24106E+02, 0.27188E+02,-0.23752E+00,-0.46384E-01, 0.23542E+00
 0.30000E+00, 0.15000E+00, 0.25248E+01, 0.24947E+02, 0.23408E+02, 0.27751E+02,-0.29858E+00,-0.87524E-01, 0.20960E+00
 0.35000E+00, 0.15000E+00, 0.26192E+01, 0.25786E+02, 0.23059E+02, 0.27293E+02,-0.27470E+00,-0.83311E-01, 0.19570E+00
 0.40000E+00, 0.15000E+00, 0.20926E+01, 0.20976E+02, 0.22582E+02, 0.26889E+02,-0.31312E+00,-0.24384E-01, 0.23520E+00
 0.45000E+00, 0.15000E+00, 0.18930E+01, 0.19137E+02, 0.22600E+02, 0.27933E+02,-0.29829E+00,-0.22890E-01, 0.15533E+00
 0.50000E+00, 0.15000E+00, 0.16501E+01, 0.16905E+02, 0.22914E+02, 0.28327E+02,-0.26813E+00,-0.48468E-02, 0.10726E+00
 0.55000E+00, 0.15000E+00, 0.14045E+01, 0.14649E+02, 0.23052E+02, 0.28523E+02,-0.28426E+00,-0.48363E-02, 0.71209E-01
 0.60000E+00, 0.15000E+00, 0.11963E+01, 0.12739E+02, 0.23319E+02, 0.27891E+02,-0.22725E+00, 0.16741E-02, 0.21207E-01
 0.65000E+00, 0.15000E+00, 0.10235E+01, 0.11153E+02, 0.23441E+02, 0.26575E+02,-0.22994E+00,-0.24560E-02,-0.11602E-01
 0.70000E+00, 0.15000E+00, 0.87957E+00, 0.98254E+01, 0.23089E+02, 0.25267E+02,-0.18721E+00, 0.76100E-02,-0.53947E-01
 0.75000E+00, 0.15000E+00, 0.75962E+00, 0.87211E+01, 0.22972E+02, 0.23560E+02,-0.19005E+00, 0.34442E-01,-0.75734E-01
